sn,resp_id,site,fokontany,main_house_rm,house_qlty,tlu,food_sec,type_light,light_sufficiency,mplayer_num,irrigated_rice,education
99,AMP099,Ampahitra,Ampahitra,1,1,5.16,10,1,1,0,1,0
100,AMP100,Ampahitra,Ampahitra,1,1,0.15,5,1,1,0,1,0
101,AMP101,Ampahitra,Ampahitra,1,1,0.02,4,1,1,0,0,0
103,AMP103,Ampahitra,Ampahitra,1,1,0.1,7,1,0,1,0,0
104,AMP104,Ampahitra,Ampahitra,1,1,0.11,7,1,1,0,0,0
105,AMP105,Ampahitra,Ampahitra,1,1,0.01,3,1,1,0,0,0
107,AMP107,Ampahitra,Ampahitra,1,1,0.05,8,1,1,0,0,0
108,AMP108,Ampahitra,Ampahitra,1,1,0.04,4,1,1,0,0,0
110,AMP110,Ampahitra,Ampahitra,1,1,0.23,1,1,0,0,0,0
111,AMP111,Ampahitra,Ampahitra,1,1,0,3,1,0,0,0,0
114,AMP114,Ampahitra,Ampahitra,1,1,0.09,10,1,0,0,0,0
115,AMP115,Ampahitra,Ampahitra,1,1,0.02,4,1,0,0,0,0
116,AMP116,Ampahitra,Ampahitra,1,1,0.1,6,1,1,0,0,0
117,AMP117,Ampahitra,Ampahitra,1,1,1.6,6,1,1,1,0,0
118,AMP118,Ampahitra,Ampahitra,1,1,0,2,1,1,1,0,0
119,AMP119,Ampahitra,Ampahitra,1,1,0.02,2,1,0,0,1,0
122,AMP122,Ampahitra,Ampahitra,1,1,0.02,3,1,2,1,1,0
123,AMP123,Ampahitra,Ampahitra,1,1,0.04,4,1,2,1,1,0
124,AMP124,Ampahitra,Ampahitra,1,1,0,2,1,2,1,0,0
126,AMP126,Ampahitra,Ampahitra,1,1,0.1,6,1,2,0,0,0
128,AMP128,Ampahitra,Ampahitra,1,1,1.8,4,1,0,1,0,0
131,AMP131,Ampahitra,Ampahitra,1,1,0.04,4,0,0,0,0,0
135,AMP135,Ampahitra,Ampahitra,1,1,0.1,6,1,1,0,0,0
136,AMP136,Ampahitra,Ampahitra,1,1,0.52,11,1,1,1,0,0
137,AMP137,Ampahitra,Ampahitra,1,1,0.08,11,1,2,1,0,0
140,AMP140,Ampahitra,Ampahitra,1,1,0.04,10,1,2,0,0,0
143,AMP143,Ampahitra,Ampahitra,1,1,0.05,9,1,2,1,0,0
149,AMP149,Ampahitra,Ampahitra,1,1,2.1,3,2,0,0,0,0
150,AMP150,Ampahitra,Ampahitra,1,1,0.74,1,1,1,1,0,0
151,AMP151,Ampahitra,Ampahitra,1,1,1.5,4,1,2,0,0,0
152,AMP152,Ampahitra,Ampahitra,1,1,0.03,3,1,2,0,0,0
153,AMP153,Ampahitra,Ampahitra,1,1,0.72,2,1,1,1,0,0
155,AMP155,Ampahitra,Ampahitra,1,1,2.31,4,1,1,0,0,0
156,AMP156,Ampahitra,Ampahitra,1,1,0.72,3,1,0,1,0,0
158,AMP158,Ampahitra,Ampahitra,1,1,0.02,3,1,0,0,0,0
159,AMP159,Ampahitra,Ampahitra,1,1,0.04,10,1,2,0,0,0
160,AMP160,Ampahitra,Ampahitra,1,1,0.14,2,1,0,0,0,0
161,AMP161,Ampahitra,Ampahitra,1,1,0.11,2,1,0,0,0,0
162,AMP162,Ampahitra,Ampahitra,1,1,4.3,7,1,2,0,0,0
163,AMP163,Ampahitra,Ampahitra,1,1,1,8,1,1,0,0,0
164,AMP164,Ampahitra,Ampahitra,1,1,1.48,5,0,0,0,0,0
167,AMP167,Ampahitra,Ampahitra,1,1,0.01,3,0,0,0,0,0
168,AMP168,Ampahitra,Ampahitra,1,1,0.4,10,2,2,0,0,0
169,AMP169,Ampahitra,Ampahitra,1,1,0.04,3,2,0,0,0,0
170,AMP170,Ampahitra,Ampahitra,1,1,0.09,6,1,0,0,0,0
171,AMP171,Ampahitra,Ampahitra,1,1,0.02,6,1,0,1,0,0
172,AMP172,Ampahitra,Ampahitra,1,1,0.01,3,2,1,1,0,0
173,AMP173,Ampahitra,Ampahitra,1,1,0.06,4,0,2,0,0,0
174,AMP174,Ampahitra,Ampahitra,1,1,0.03,3,0,0,0,0,0
176,AMP176,Ampahitra,Ampahitra,1,1,0.72,3,1,2,0,0,0
177,AMP177,Ampahitra,Ampahitra,1,1,0.04,4,1,0,0,0,0
178,AMP178,Ampahitra,Ampahitra,1,1,0.13,7,1,1,1,0,0
